trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2022-04-13,42546.91371000007,-0.07443890274314216,-0.03897547797173767,22.43,,,-0.5745308628999992,-0.0677472984206151
2022-04-14,42546.91371000007,-0.0711970074812968,-0.04120947630922717,22.83,,,-0.5745308628999992,-0.05112219451371573
2022-04-15,42546.91371000007,-0.07015793848711564,-0.043838320864505786,22.55,,,-0.5745308628999992,-0.06275976724854522
2022-04-18,42260.73747000008,-0.06753948462177874,-0.04596841230257741,22.68,-0.05735660847880295,,-0.5773926252999992,-0.05735660847880295
2022-04-19,42816.09291000008,-0.06496259351620928,-0.04818162926018333,22.92,,-0.04738154613466322,-0.5718390708999992,-0.04738154613466322
2022-04-20,42816.09291000008,-0.06305070656691603,-0.050353283458021945,23.14,,,-0.5718390708999992,-0.03823773898586859
2022-04-21,42943.96975000008,-0.06201163757273472,-0.05288861180382425,22.36,-0.0706566916043225,,-0.5705603024999992,-0.0706566916043225
2022-04-22,42892.28006000008,-0.06109725685785517,-0.05544472152950984,22.49,,-0.06525353283458023,-0.5710771993999992,-0.06525353283458023
2022-04-25,42599.68266000008,-0.06521197007481279,-0.058842477140482394,20.87,-0.13258520365752277,,-0.5740031733999992,-0.13258520365752277
2022-04-26,42719.68266000008,-0.07231920199501227,-0.06231296758104768,20.93,-0.1300914380714879,,-0.5728031733999992,-0.1300914380714879
2022-04-27,43360.51066000008,-0.07660016625103877,-0.06532626766417311,21.4,,-0.11055694098088115,-0.5663948933999992,-0.11055694098088115
2022-04-28,43360.51066000008,-0.08216957605985009,-0.06879675810473826,21.49,,,-0.5663948933999992,-0.10681629260182877
2022-04-29,43360.51066000008,-0.0843724023275143,-0.0719451371571073,22.02,,,-0.5663948933999992,-0.084788029925187
2022-05-05,43360.51066000008,-0.0843724023275143,-0.07450124688279319,22.68,,,-0.5663948933999992,-0.05735660847880295
2022-05-06,43360.51066000008,-0.08640897755610961,-0.07711970074812995,22.43,,,-0.5663948933999992,-0.0677472984206151
2022-05-09,43360.51066000008,-0.08715710723191997,-0.07848088113050719,22.96,,,-0.5663948933999992,-0.04571903574397331
2022-05-10,43360.51066000008,-0.0850789692435578,-0.07893807148794689,22.86,,,-0.5663948933999992,-0.04987531172069823
